geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
fsm,"Micronesia, Fed. Sts.",,,,,,,0.278,0.571,1.86,2.8,3.73486,4.66053,5.5701,9.2325,11.01787,11.8814,12.7503,13.6211,14.49,15.35,20,22.8,25.9744,27.8,29.65,31.5011,33.3522,35.3041,36.6146,37.9737,39.3833,,39.0279,39.3989,39.5236,
gab,Gabon,,,,,,,,0.048,0.17,0.249,1.21614,1.34762,1.93953,2.65959,2.97907,4.89326,5.4892,5.767,7.5,9.5,13,18,24,30.538,38.0712,45.7845,48.0523,51.6049,55.4202,59.5176,63.9179,65.7681,67.6717,68.1979,68.7209,
gbr,UK,0.0874,0.174,0.261,0.52,1.04,1.9,4.12,7.39,13.7,21.3,26.82175,33.48109,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.38,87.48,89.8441,91.6133,92.0003,94.7758,90.42455,90.69201,92.51663,94.8182,96.1965,95.4653,95.4472,95.4721,
geo,Georgia,,,,,,0.0118,0.0401,0.0609,0.103,0.416,0.48475,0.99234,1.58788,2.55882,3.88622,6.0795,7.52688,8.26,10.01,20.07,26.9,31.52,36.94,43.3,49.10245,47.56976,58.45929,59.7055,62.71791,68.84671,72.53157,76.44271,78.71128,81.88426,83.79856,
gha,Ghana,,,,,,0.00035,0.00565,0.0275,0.0322,0.105,0.15362,0.20001,0.83028,1.19306,1.7168,1.8312,2.72318,3.85,4.27,5.44,7.8,9,10.6,15,19,23,28,37.8842,43,22.0732,62.5176,68.6,69.9133,70.6743,72.1757,
gin,Guinea,,,,,0.00014,0.00067,0.00195,0.0038,0.0062,0.0608,0.09542,0.17554,0.40202,0.45096,0.50882,0.5423,0.6375,0.78003,0.92,0.94,1,2,3.1,4.5,6.4,9.2,13.1,18.7,21.83002,23.8905,26.1455,28.6133,31.314,32.3156,33.3047,
gmb,Gambia,,,,,,0.00922,0.0355,0.0513,0.206,0.716,0.92179,1.33679,1.79678,2.43678,3.308,3.799,5.23769,6.20504,6.88,7.63,9.2,10.8703,12.4492,14,15.56,17.5995,19.9064,22.5156,28.309,31.1183,36.011,41.6731,48.2254,48.7283,49.4943,
gnb,Guinea-Bissau,,,,,,,,0.0164,0.0241,0.118,0.2301,0.29957,1.02299,1.3542,1.80814,1.9014,2.0572,2.2063,2.35489,2.30328,2.45,2.672,2.894,3.1,3.32,6.1,13.8,14.8,15.7,17.9215,20.4573,23.3519,27.6738,28.7124,29.7774,
gnq,Equatorial Guinea,,,,,,,,0.0415,0.0944,0.0974,0.13235,0.16526,0.3212,0.52052,0.84393,1.1498,1.2792,1.5571,1.82,2.13,6,11.5,13.9432,16.4,18.86,21.32,23.78,26.24,29.4,49.1337,55.0013,58.7173,63.6595,63.5195,63.2993,
grc,Greece,,0.0488,0.0483,0.191,0.378,0.75,1.4,1.85,3.22,6.88,9.13884,10.93503,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.65,55.06999,59.8663,63.20734,66.83496,69.08792,69.89297,72.23837,75.67121,78.11584,78.49426,83.17066,85.01022,86.26969,
grd,Grenada,,,,,,,0.298,0.991,1.48,2.47,4.06391,5.1281,14.75884,18.64518,19.57062,20.4878,21.396,22.29,23.18,24.05,27,30,32,35,51.6,52.5,53.3,54.2,61.4246,64.3128,65.6538,67.0228,68.4203,69.4131,70.1616,
gtm,Guatemala,,,,,,0.003,0.0195,0.0955,0.467,0.593,0.71233,1.7382,3.39175,4.54885,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8059,34.5093,37.9,41.5,44.40105,47.5123,50.84165,54.4043,56.7267,60.2214,
guy,Guyana,,,,,,,0.0659,0.132,0.264,0.4,0.6,1,1.5,2.4,3.7,5.7,8.9,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,42.6753,48.5989,55.3127,62.954,71.6509,76.5624,79.3553,83.0008,
hnd,Honduras,,,,,,0.0368,0.0437,0.171,0.301,0.574,1.20386,1.41528,2.5974,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,23,27.13955,29.52822,31.73579,36.04006,39.38835,45.2483,51.9516,56.8807,58.0686,58.6227,
hrv,Croatia,,,,0.0972,0.268,0.514,0.859,1.73,3.27,4.41,6.64488,11.55857,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78998,61.93997,66.7476,68.5679,69.84504,72.69727,67.09619,75.29463,79.07978,78.3209,81.25397,82.07156,83.24118,83.6324,
hti,Haiti,,,,,,,0.00748,,0.024,0.0707,0.23127,0.34083,0.89343,1.64736,5.40126,6.3762,6.796,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,14.2,22.8,27.2,32.47363,35.7641,39.3881,43.3792,47.7747,47.9927,47.8614,
hun,Hungary,,0.00338,0.0484,0.193,0.484,0.677,0.969,1.94,3.89,5.86,6.99968,14.52855,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.01999,70.58,72.6439,75.6532,72.83474,79.25941,76.75055,76.07436,80.37169,84.77115,88.64083,89.14283,91.45007,93.77899,
